"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"02/07/2023";"0000";"14,8";"94,0";"1009,1";"0,0";"0,0";"0,0";"1,30";"18,9";"";""
"02/07/2023";"1200";"15,0";"100,0";"1009,8";"1,3";"90,0";"10,0";"";"";"14,8";"0,0"
"02/07/2023";"1800";"17,4";"85,0";"1007,1";"4,1";"90,0";"8,0";"";"";"";""
"03/07/2023";"0000";"15,8";"92,0";"1008,3";"2,3";"140,0";"8,0";"7,10";"22,5";"";""
"03/07/2023";"1200";"13,8";"100,0";"1008,4";"2,8";"140,0";"10,0";"";"";"13,2";"0,0"
"03/07/2023";"1800";"22,4";"75,0";"1006,0";"2,0";"140,0";"4,0";"";"";"";""
"04/07/2023";"0000";"16,6";"95,0";"1007,1";"0,7";"90,0";"3,0";"9,00";"26,0";"";""
"04/07/2023";"1200";"17,6";"82,0";"1007,9";"0,0";"0,0";"0,0";"";"";"13,4";"0,0"
"04/07/2023";"1800";"25,8";"51,0";"1004,6";"3,3";"50,0";"0,0";"";"";"";""
"05/07/2023";"0000";"18,0";"75,0";"1004,8";"2,0";"50,0";"0,0";"7,40";"23,4";"";""
"05/07/2023";"1200";"19,6";"72,0";"1005,6";"1,3";"50,0";"8,0";"";"";"16,6";"0,0"
"05/07/2023";"1800";"22,4";"61,0";"1004,4";"2,0";"140,0";"2,0";"";"";"";""
"06/07/2023";"0000";"16,6";"92,0";"1003,6";"1,3";"140,0";"0,0";"3,80";"26,6";"";""
"06/07/2023";"1200";"21,8";"56,0";"1001,4";"5,0";"360,0";"4,0";"";"";"14,2";"0,0"
"06/07/2023";"1800";"26,0";"58,0";"998,4";"2,0";"360,0";"9,0";"";"";"";""
"07/07/2023";"0000";"18,4";"97,0";"999,5";"0,8";"140,0";"10,0";"0,00";"19,4";"";""
"07/07/2023";"1200";"17,2";"100,0";"1002,0";"1,0";"90,0";"10,0";"";"";"15,8";"3,7"
"07/07/2023";"1800";"16,8";"100,0";"1000,0";"1,3";"90,0";"10,0";"";"";"";""
"08/07/2023";"0000";"15,8";"98,0";"999,8";"3,3";"140,0";"10,0";"2,80";"19,4";"";""
"08/07/2023";"1200";"15,4";"95,0";"1001,6";"2,0";"140,0";"4,0";"";"";"14,8";"66,0"
"08/07/2023";"1800";"18,6";"79,0";"1001,4";"3,3";"140,0";"9,0";"";"";"";""
"09/07/2023";"0000";"16,8";"89,0";"1003,5";"0,7";"140,0";"8,0";"1,00";"19,4";"";""
"09/07/2023";"1200";"14,8";"94,0";"1004,6";"2,0";"140,0";"10,0";"";"";"14,8";"0,0"
"09/07/2023";"1800";"18,8";"78,0";"1002,0";"1,6";"140,0";"9,0";"";"";"";""
"10/07/2023";"0000";"16,8";"89,0";"1003,1";"0,0";"0,0";"10,0";"0,80";"18,4";"";""
"10/07/2023";"1200";"16,2";"92,0";"1003,3";"1,6";"140,0";"10,0";"";"";"14,0";"0,0"
"10/07/2023";"1800";"17,6";"90,0";"1002,2";"2,5";"140,0";"10,0";"";"";"";""
"11/07/2023";"0000";"17,0";"84,0";"1004,3";"5,0";"140,0";"10,0";"1,50";"17,9";"";""
"11/07/2023";"1200";"13,8";"90,0";"1004,4";"2,6";"140,0";"6,0";"";"";"13,0";"0,0"
"11/07/2023";"1800";"15,4";"56,0";"1003,2";"4,1";"140,0";"10,0";"";"";"";""
"12/07/2023";"0000";"14,2";"91,0";"1002,0";"2,5";"140,0";"10,0";"0,00";"16,4";"";""
"12/07/2023";"1200";"14,8";"96,0";"996,6";"3,8";"140,0";"10,0";"";"";"14,2";"7,2"
"12/07/2023";"1800";"15,2";"100,0";"989,0";"3,3";"140,0";"10,0";"";"";"";""
"13/07/2023";"0000";"16,2";"97,0";"988,2";"2,1";"320,0";"10,0";"0,00";"16,4";"";""
"13/07/2023";"1200";"11,4";"89,0";"1000,7";"1,0";"320,0";"10,0";"";"";"8,4";"73,8"
"13/07/2023";"1800";"10,6";"89,0";"1005,6";"3,0";"270,0";"10,0";"";"";"";""
"14/07/2023";"0000";"8,4";"97,0";"1010,7";"1,6";"320,0";"10,0";"8,30";"13,4";"";""
"14/07/2023";"1200";"8,0";"93,0";"1012,6";"0,8";"320,0";"0,0";"";"";"5,6";"8,1"
"14/07/2023";"1800";"13,2";"65,0";"1010,6";"1,6";"230,0";"7,0";"";"";"";""
"15/07/2023";"0000";"6,4";"97,0";"1010,3";"0,0";"0,0";"0,0";"5,20";"15,3";"";""
"15/07/2023";"1200";"4,6";"97,0";"1010,2";"0,0";"0,0";"10,0";"";"";"3,0";"0,0"
"15/07/2023";"1800";"15,0";"74,0";"1005,8";"1,6";"140,0";"5,0";"";"";"";""
"16/07/2023";"0000";"10,4";"94,0";"1006,6";"0,8";"140,0";"8,0";"7,30";"16,4";"";""
"16/07/2023";"1200";"9,6";"94,0";"1008,7";"0,0";"0,0";"7,0";"";"";"6,8";"0,0"
"16/07/2023";"1800";"15,2";"70,0";"1007,0";"1,0";"270,0";"7,0";"";"";"";""
"17/07/2023";"0000";"8,8";"97,0";"1009,2";"0,0";"0,0";"7,0";"8,60";"13,4";"";""
"17/07/2023";"1200";"5,4";"97,0";"1012,6";"0,0";"0,0";"0,0";"";"";"2,8";"0,0"
"17/07/2023";"1800";"12,4";"59,0";"1011,0";"2,0";"180,0";"2,0";"";"";"";""
"18/07/2023";"0000";"5,8";"94,0";"1013,2";"0,0";"0,0";"0,0";"8,90";"12,4";"";""
"18/07/2023";"1200";"4,0";"93,0";"1017,6";"0,0";"0,0";"2,0";"";"";"0,4";"0,0"
"18/07/2023";"1800";"11,6";"63,0";"1016,2";"2,5";"140,0";"0,0";"";"";"";""
"19/07/2023";"0000";"7,0";"88,0";"1018,2";"1,3";"140,0";"0,0";"9,00";"14,4";"";""
"19/07/2023";"1200";"6,6";"87,0";"1019,0";"3,3";"140,0";"2,0";"";"";"5,0";"0,0"
"19/07/2023";"1800";"14,0";"67,0";"1016,3";"5,0";"140,0";"2,0";"";"";"";""
"20/07/2023";"0000";"11,0";"89,0";"1015,1";"1,6";"90,0";"0,0";"2,00";"18,4";"";""
"20/07/2023";"1200";"11,0";"93,0";"1014,6";"1,8";"140,0";"9,0";"";"";"9,8";"0,0"
"20/07/2023";"1800";"18,0";"77,0";"1010,0";"1,8";"140,0";"10,0";"";"";"";""
"21/07/2023";"0000";"16,6";"90,0";"1010,0";"1,6";"140,0";"8,0";"9,00";"29,4";"";""
"21/07/2023";"1200";"20,4";"68,0";"1007,8";"3,5";"50,0";"8,0";"";"";"15,6";"0,0"
"21/07/2023";"1800";"28,8";"53,0";"1004,3";"";"50,0";"0,0";"";"";"";""
"22/07/2023";"0000";"25,0";"66,0";"1003,9";"3,6";"50,0";"0,0";"9,00";"29,5";"";""
"22/07/2023";"1200";"22,4";"63,0";"1005,5";"6,6";"50,0";"4,0";"";"";"21,8";"0,0"
"22/07/2023";"1800";"28,6";"48,0";"1000,3";"6,3";"50,0";"4,0";"";"";"";""
"23/07/2023";"0000";"25,6";"56,0";"999,9";"5,0";"50,0";"0,0";"4,30";"29,2";"";""
"23/07/2023";"1200";"24,0";"60,0";"1006,0";"4,6";"360,0";"8,0";"";"";"21,0";"0,0"
"23/07/2023";"1800";"28,6";"60,0";"1006,3";"1,5";"320,0";"8,0";"";"";"";""
"24/07/2023";"0000";"21,0";"87,0";"1007,6";"0,3";"140,0";"0,0";"2,10";"22,5";"";""
"24/07/2023";"1200";"15,4";"87,0";"1009,1";"3,3";"140,0";"4,0";"";"";"14,6";"0,0"
"24/07/2023";"1800";"17,0";"86,0";"1008,7";"4,5";"140,0";"10,0";"";"";"";""
"25/07/2023";"0000";"15,4";"91,0";"1008,4";"3,3";"140,0";"10,0";"0,00";"16,4";"";""
"25/07/2023";"1200";"14,4";"98,0";"1006,4";"2,5";"140,0";"10,0";"";"";"14,0";"11,8"
"25/07/2023";"1800";"15,8";"98,0";"1003,8";"1,6";"140,0";"10,0";"";"";"";""
"26/07/2023";"0000";"16,4";"98,0";"1002,0";"1,6";"90,0";"10,0";"0,00";"19,4";"";""
"26/07/2023";"1200";"17,8";"96,0";"1002,3";"2,0";"320,0";"10,0";"";"";"13,6";"8,1"
"26/07/2023";"1800";"16,6";"94,0";"1003,6";"2,5";"320,0";"10,0";"";"";"";""
"27/07/2023";"0000";"13,6";"93,0";"1008,4";"0,8";"320,0";"7,0";"8,60";"16,6";"";""
"27/07/2023";"1200";"9,8";"95,0";"1011,6";"0,5";"50,0";"0,0";"";"";"6,6";"0,0"
"27/07/2023";"1800";"16,0";"63,0";"1008,7";"4,1";"180,0";"3,0";"";"";"";""
"28/07/2023";"0000";"11,8";"92,0";"1010,3";"1,3";"140,0";"10,0";"5,50";"16,4";"";""
"28/07/2023";"1200";"10,6";"95,0";"1015,0";"2,0";"140,0";"10,0";"";"";"9,4";"6,5"
"28/07/2023";"1800";"15,6";"71,0";"1014,7";"1,6";"140,0";"7,0";"";"";"";""
"29/07/2023";"0000";"9,4";"95,0";"1015,9";"0,3";"140,0";"5,0";"7,50";"15,4";"";""
"29/07/2023";"1200";"8,0";"99,0";"1016,4";"1,8";"90,0";"10,0";"";"";"6,6";"0,0"
"29/07/2023";"1800";"14,8";"66,0";"1013,5";"3,3";"140,0";"7,0";"";"";"";""
"30/07/2023";"0000";"9,6";"92,0";"1012,3";"0,0";"0,0";"0,0";"7,00";"20,9";"";""
"30/07/2023";"1200";"7,0";"100,0";"1011,6";"1,3";"140,0";"10,0";"";"";"4,8";"0,1"
"30/07/2023";"1800";"19,8";"71,0";"1009,0";"1,3";"140,0";"7,0";"";"";"";""
"31/07/2023";"0000";"14,0";"95,0";"1009,5";"0,5";"90,0";"3,0";"8,30";"24,5";"";""
"31/07/2023";"1200";"12,2";"96,0";"1011,1";"0,0";"0,0";"3,0";"";"";"9,2";"0,0"
"31/07/2023";"1800";"24,4";"68,0";"1008,6";"1,6";"230,0";"3,0";"";"";"";""
"01/08/2023";"0000";"17,8";"94,0";"1009,4";"0,3";"100,0";"10,0";"6,90";"27,0";"";""
"01/08/2023";"1200";"13,6";"100,0";"1010,0";"0,5";"140,0";"10,0";"";"";"13,2";"0,1"
"01/08/2023";"1800";"26,2";"70,0";"1007,0";"2,0";"180,0";"1,0";"";"";"";""
"02/08/2023";"0000";"19,0";"94,0";"1007,2";"0,0";"0,0";"0,0";"9,30";"30,5";"";""
"02/08/2023";"1200";"16,6";"100,0";"1006,2";"1,3";"140,0";"0,0";"";"";"13,4";"0,0"
"02/08/2023";"1800";"29,6";"48,0";"1003,1";"2,1";"360,0";"0,0";"";"";"";""
"03/08/2023";"0000";"20,2";"87,0";"1003,4";"0,0";"0,0";"0,0";"5,10";"23,0";"";""
"03/08/2023";"1200";"19,2";"94,0";"1007,9";"2,1";"140,0";"8,0";"";"";"16,0";"0,0"
"03/08/2023";"1800";"20,6";"86,0";"1006,0";"3,3";"180,0";"10,0";"";"";"";""
"04/08/2023";"0000";"17,8";"86,0";"1006,8";"3,0";"140,0";"10,0";"4,60";"22,5";"";""
"04/08/2023";"1200";"14,8";"97,0";"1005,6";"0,0";"0,0";"10,0";"";"";"14,4";"0,0"
"04/08/2023";"1800";"22,4";"79,0";"1003,4";"2,5";"230,0";"4,0";"";"";"";""
"05/08/2023";"0000";"18,4";"96,0";"1005,0";"0,0";"0,0";"0,0";"3,60";"22,5";"";""
"05/08/2023";"1200";"16,0";"100,0";"1008,2";"2,3";"140,0";"10,0";"";"";"16,0";"0,0"
"05/08/2023";"1800";"21,6";"82,0";"1005,0";"3,3";"140,0";"3,0";"";"";"";""
"06/08/2023";"0000";"18,0";"94,0";"1005,0";"3,0";"140,0";"0,0";"9,00";"31,5";"";""
"06/08/2023";"1200";"17,4";"100,0";"1004,3";"3,5";"50,0";"0,0";"";"";"16,2";"0,0"
"06/08/2023";"1800";"31,0";"39,0";"999,5";"4,1";"360,0";"0,0";"";"";"";""
"07/08/2023";"0000";"22,2";"76,0";"1000,4";"0,7";"90,0";"0,0";"0,00";"28,0";"";""
"07/08/2023";"1200";"20,8";"87,0";"1005,9";"5,8";"180,0";"10,0";"";"";"12,6";"0,0"
"07/08/2023";"1800";"13,0";"93,0";"1011,2";"1,3";"140,0";"10,0";"";"";"";""
"08/08/2023";"0000";"12,6";"88,0";"1014,6";"1,3";"140,0";"10,0";"5,30";"18,4";"";""
"08/08/2023";"1200";"11,4";"90,0";"1015,9";"3,3";"140,0";"8,0";"";"";"10,0";"11,6"
"08/08/2023";"1800";"17,8";"60,0";"1011,6";"5,0";"140,0";"8,0";"";"";"";""
"09/08/2023";"0000";"15,4";"70,0";"1010,8";"4,1";"140,0";"8,0";"0,00";"15,4";"";""
"09/08/2023";"1200";"13,2";"96,0";"1009,2";"2,6";"140,0";"10,0";"";"";"13,2";"0,4"
"09/08/2023";"1800";"14,2";"98,0";"1006,8";"2,5";"140,0";"10,0";"";"";"";""
"10/08/2023";"0000";"14,4";"98,0";"1005,2";"0,7";"230,0";"10,0";"6,30";"24,5";"";""
"10/08/2023";"1200";"15,2";"98,0";"1004,3";"2,1";"90,0";"10,0";"";"";"14,6";"5,8"
"10/08/2023";"1800";"23,4";"78,0";"999,4";"2,1";"140,0";"7,0";"";"";"";""
"11/08/2023";"0000";"20,8";"91,0";"996,8";"1,3";"140,0";"6,0";"0,10";"24,0";"";""
"11/08/2023";"1200";"18,6";"92,0";"1000,2";"0,8";"180,0";"10,0";"";"";"17,6";"27,6"
"11/08/2023";"1800";"22,0";"84,0";"1000,2";"0,5";"320,0";"10,0";"";"";"";""
"12/08/2023";"0000";"18,0";"92,0";"1004,0";"1,0";"270,0";"9,0";"8,60";"18,0";"";""
"12/08/2023";"1200";"11,0";"61,0";"1011,9";"0,3";"180,0";"3,0";"";"";"8,2";"0,0"
"12/08/2023";"1800";"16,0";"39,0";"1011,4";"2,1";"230,0";"0,0";"";"";"";""
"13/08/2023";"0000";"9,0";"73,0";"1013,9";"1,0";"230,0";"0,0";"9,70";"14,9";"";""
"13/08/2023";"1200";"6,2";"91,0";"1016,4";"0,0";"0,0";"0,0";"";"";"2,0";"0,0"
"13/08/2023";"1800";"14,2";"45,0";"1012,2";"1,3";"140,0";"2,0";"";"";"";""
"14/08/2023";"0000";"7,0";"85,0";"1011,2";"1,0";"140,0";"0,0";"9,70";"20,4";"";""
"14/08/2023";"1200";"7,0";"94,0";"1010,6";"0,3";"90,0";"0,0";"";"";"2,8";"0,0"
"14/08/2023";"1800";"20,0";"59,0";"1007,6";"2,0";"180,0";"4,0";"";"";"";""
"15/08/2023";"0000";"12,2";"91,0";"1007,8";"1,3";"140,0";"0,0";"9,80";"26,5";"";""
"15/08/2023";"1200";"10,4";"98,0";"1007,0";"1,6";"140,0";"0,0";"";"";"6,6";"0,0"
"15/08/2023";"1800";"25,8";"55,0";"1003,4";"1,6";"140,0";"0,0";"";"";"";""
"16/08/2023";"0000";"19,2";"82,0";"1003,2";"1,3";"140,0";"0,0";"9,50";"32,0";"";""
"16/08/2023";"1200";"21,6";"61,0";"1004,7";"3,3";"50,0";"1,0";"";"";"15,0";"0,0"
"16/08/2023";"1800";"31,4";"43,0";"1001,8";"3,6";"360,0";"3,0";"";"";"";""
"17/08/2023";"0000";"24,2";"67,0";"1002,3";"2,3";"90,0";"0,0";"9,90";"32,5";"";""
"17/08/2023";"1200";"26,6";"54,0";"1000,6";"1,6";"320,0";"0,0";"";"";"21,0";"0,0"
"17/08/2023";"1800";"32,0";"42,0";"996,2";"3,6";"360,0";"3,0";"";"";"";""
"18/08/2023";"0000";"25,0";"70,0";"995,6";"0,5";"140,0";"0,0";"0,00";"25,0";"";""
"18/08/2023";"1200";"16,6";"96,0";"997,1";"2,0";"230,0";"10,0";"";"";"16,6";"3,0"
"18/08/2023";"1800";"17,6";"88,0";"993,6";"0,5";"140,0";"10,0";"";"";"";""
"19/08/2023";"0000";"16,8";"92,0";"997,1";"1,6";"320,0";"10,0";"9,80";"20,6";"";""
"19/08/2023";"1200";"10,6";"95,0";"1003,0";"1,6";"320,0";"0,0";"";"";"8,0";"12,9"
"19/08/2023";"1800";"19,4";"44,0";"998,8";"1,6";"320,0";"0,0";"";"";"";""
"20/08/2023";"0000";"12,0";"81,0";"998,3";"0,3";"230,0";"8,0";"5,90";"22,6";"";""
"20/08/2023";"1200";"12,8";"92,0";"999,5";"0,0";"0,0";"8,0";"";"";"9,4";"0,0"
"20/08/2023";"1800";"22,2";"65,0";"997,5";"2,6";"320,0";"8,0";"";"";"";""
"21/08/2023";"0000";"15,6";"89,0";"998,8";"0,0";"0,0";"0,0";"9,70";"26,0";"";""
"21/08/2023";"1200";"13,4";"98,0";"1001,6";"1,3";"140,0";"1,0";"";"";"9,8";"0,0"
"21/08/2023";"1800";"24,2";"65,0";"996,7";"2,0";"140,0";"1,0";"";"";"";""
"22/08/2023";"0000";"18,6";"79,0";"995,2";"1,8";"140,0";"0,0";"7,40";"32,5";"";""
"22/08/2023";"1200";"25,8";"63,0";"990,3";"9,1";"360,0";"9,0";"";"";"18,6";"0,0"
"22/08/2023";"1800";"32,2";"48,0";"985,9";"7,5";"360,0";"0,0";"";"";"";""
"23/08/2023";"0000";"25,4";"81,0";"987,6";"0,0";"0,0";"0,0";"0,00";"26,0";"";""
"23/08/2023";"1200";"19,6";"95,0";"988,7";"2,3";"140,0";"10,0";"";"";"16,0";"0,0"
"23/08/2023";"1800";"21,0";"79,0";"989,5";"2,6";"140,0";"10,0";"";"";"";""
"24/08/2023";"0000";"16,0";"94,0";"994,6";"3,3";"230,0";"10,0";"10,00";"19,4";"";""
"24/08/2023";"1200";"14,0";"69,0";"1000,6";"2,5";"140,0";"0,0";"";"";"11,8";"1,2"
"24/08/2023";"1800";"19,0";"48,0";"999,8";"3,6";"140,0";"0,0";"";"";"";""
"25/08/2023";"0000";"14,4";"61,0";"1002,7";"5,0";"140,0";"0,0";"9,90";"17,9";"";""
"25/08/2023";"1200";"10,6";"85,0";"1008,3";"2,1";"140,0";"0,0";"";"";"6,6";"0,0"
"25/08/2023";"1800";"17,4";"43,0";"1006,0";"4,1";"140,0";"0,0";"";"";"";""
"26/08/2023";"0000";"10,4";"87,0";"1008,7";"0,0";"0,0";"0,0";"9,40";"16,4";"";""
"26/08/2023";"1200";"8,8";"92,0";"1013,9";"1,6";"140,0";"5,0";"";"";"4,0";"0,0"
"26/08/2023";"1800";"15,6";"42,0";"1011,8";"3,0";"180,0";"6,0";"";"";"";""
"27/08/2023";"0000";"8,2";"78,0";"1012,7";"0,0";"0,0";"4,0";"9,70";"15,4";"";""
"27/08/2023";"1200";"8,0";"83,0";"1016,6";"1,3";"90,0";"2,0";"";"";"2,8";"0,0"
"27/08/2023";"1800";"14,8";"47,0";"1014,2";"3,6";"180,0";"0,0";"";"";"";""
"28/08/2023";"0000";"7,0";"82,0";"1014,4";"0,5";"90,0";"0,0";"9,90";"16,4";"";""
"28/08/2023";"1200";"6,6";"88,0";"1014,6";"2,5";"140,0";"0,0";"";"";"2,6";"0,0"
"28/08/2023";"1800";"15,8";"54,0";"1009,6";"5,0";"140,0";"0,0";"";"";"";""
"29/08/2023";"0000";"10,8";"79,0";"1009,1";"2,3";"140,0";"0,0";"8,90";"21,5";"";""
"29/08/2023";"1200";"8,4";"97,0";"1010,8";"2,5";"90,0";"10,0";"";"";"7,0";"0,0"
"29/08/2023";"1800";"21,0";"62,0";"1006,6";"4,0";"140,0";"0,0";"";"";"";""
"30/08/2023";"0000";"14,0";"89,0";"1007,4";"0,0";"0,0";"0,0";"7,60";"25,5";"";""
"30/08/2023";"1200";"10,0";"100,0";"1006,0";"1,3";"140,0";"10,0";"";"";"8,4";"0,0"
"30/08/2023";"1800";"25,0";"50,0";"1001,5";"2,5";"140,0";"2,0";"";"";"";""
"31/08/2023";"0000";"16,8";"86,0";"1002,4";"0,3";"140,0";"0,0";"9,40";"27,4";"";""
"31/08/2023";"1200";"15,0";"98,0";"1006,7";"0,0";"0,0";"0,0";"";"";"10,0";"0,0"
"31/08/2023";"1800";"26,8";"37,0";"1004,7";"1,3";"140,0";"2,0";"";"";"";""
"01/09/2023";"0000";"17,4";"78,0";"1003,6";"1,3";"140,0";"0,0";"0,10";"21,5";"";""
"01/09/2023";"1200";"14,0";"95,0";"1004,6";"3,3";"90,0";"10,0";"";"";"13,0";"0,0"
"01/09/2023";"1800";"20,0";"79,0";"999,9";"2,1";"140,0";"10,0";"";"";"";""
"02/09/2023";"0000";"19,2";"82,0";"997,8";"2,0";"90,0";"10,0";"0,00";"22,5";"";""
"02/09/2023";"1200";"17,2";"94,0";"999,1";"1,3";"320,0";"10,0";"";"";"17,2";"0,0"
"02/09/2023";"1800";"22,0";"77,0";"995,8";"0,7";"90,0";"10,0";"";"";"";""
"03/09/2023";"0000";"18,4";"90,0";"997,2";"1,5";"140,0";"7,0";"0,00";"20,9";"";""
"03/09/2023";"1200";"18,4";"96,0";"998,0";"0,0";"0,0";"10,0";"";"";"17,8";"11,2"
"03/09/2023";"1800";"20,0";"94,0";"996,7";"2,6";"50,0";"10,0";"";"";"";""
"04/09/2023";"0000";"20,6";"89,0";"995,0";"3,3";"50,0";"10,0";"0,00";"21,5";"";""
"04/09/2023";"1200";"19,2";"100,0";"997,4";"0,0";"0,0";"10,0";"";"";"15,0";"94,2"
"04/09/2023";"1800";"18,6";"98,0";"995,8";"1,6";"230,0";"10,0";"";"";"";""
"05/09/2023";"0000";"15,0";"98,0";"1003,5";"2,5";"230,0";"10,0";"3,10";"16,4";"";""
"05/09/2023";"1200";"11,0";"87,0";"1012,6";"1,6";"230,0";"10,0";"";"";"10,6";"42,6"
"05/09/2023";"1800";"15,4";"70,0";"1011,8";"1,6";"90,0";"5,0";"";"";"";""
"06/09/2023";"0000";"11,4";"93,0";"1012,7";"0,5";"90,0";"0,0";"5,80";"19,9";"";""
"06/09/2023";"1200";"11,6";"88,0";"1014,0";"4,5";"140,0";"10,0";"";"";"10,2";"0,0"
"06/09/2023";"1800";"18,8";"70,0";"1008,6";"3,8";"140,0";"4,0";"";"";"";""
"07/09/2023";"0000";"17,6";"79,0";"1007,2";"3,8";"140,0";"10,0";"1,30";"22,5";"";""
"07/09/2023";"1200";"17,2";"84,0";"1003,0";"2,3";"90,0";"10,0";"";"";"15,2";"0,0"
"07/09/2023";"1800";"19,8";"80,0";"999,0";"3,6";"140,0";"9,0";"";"";"";""
"08/09/2023";"0000";"18,0";"98,0";"1001,5";"4,1";"230,0";"10,0";"8,20";"19,4";"";""
"08/09/2023";"1200";"18,4";"98,0";"1001,9";"0,8";"230,0";"10,0";"";"";"18,0";"46,0"
"08/09/2023";"1800";"18,6";"96,0";"1001,1";"0,8";"230,0";"10,0";"";"";"";""
"09/09/2023";"0000";"18,2";"96,0";"1002,7";"1,3";"140,0";"10,0";"0,00";"18,1";"";""
"09/09/2023";"1200";"12,2";"98,0";"1006,6";"2,6";"140,0";"10,0";"";"";"12,2";"42,0"
"09/09/2023";"1800";"15,8";"89,0";"1004,7";"2,5";"140,0";"10,0";"";"";"";""
