data,dia_semana,nome_feriado,feriado_destacado,temp_max,temp_min,temp_media,umid_max,umid_min,umid_mediana,rad_min,rad_max,rad_mediana,vento_raj_max,vento_vel_media,precipitacao_total,temp_inst_faltantes_pct,umidade_faltantes_pct,radiacao_faltantes_pct,vento_vel_faltantes_pct,precipitacao_faltantes_pct,valor_total,valor_medio,num_pedidos,quebra_de_caixa,mes_origem
2022-01-01,Saturday,Confraternização Universal,True,37.2,19.7,28.13,88.0,29.0,57.0,11.9,3753.0,2199.5,9.9,1.9,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,0.0,#DIV/0!,0.0,0.0,01. JANEIRO
2022-01-02,Sunday,,False,37.1,19.6,25.78,95.0,37.0,74.0,8.7,3066.1,911.5,16.2,1.64,10.0,0.0%,4.17%,37.5%,0.0%,0.0%,0.0,#DIV/0!,0.0,0.0,01. JANEIRO
2022-01-03,Monday,,False,34.1,22.1,27.2,95.0,40.0,72.0,3.8,3494.6,1532.8,8.4,1.97,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,356.0,27.3846153846154,13.0,11.0,01. JANEIRO
2022-01-04,Tuesday,,False,29.0,21.2,24.71,99.0,59.0,87.5,4.6,2061.2,479.8,8.4,1.82,14.2,0.0%,0.0%,37.5%,0.0%,0.0%,223.0,18.5833333333333,12.0,9.0,01. JANEIRO
2022-01-05,Wednesday,,False,27.0,21.0,23.51,99.0,61.0,96.0,1.9,2958.7,490.0,9.3,2.03,0.4,4.17%,4.17%,37.5%,4.17%,4.17%,460.5,27.0882352941177,17.0,12.0,01. JANEIRO
2022-01-06,Thursday,,False,28.0,14.8,22.0,97.0,42.0,65.0,6.2,3516.0,2312.9,10.5,2.91,0.0,0.0%,4.17%,37.5%,0.0%,0.0%,440.5,31.4642857142857,14.0,-10.0,01. JANEIRO
2022-01-07,Friday,,False,28.6,15.5,21.78,96.0,41.0,70.5,7.4,3844.0,2327.9,11.3,3.03,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,851.0,32.7307692307692,26.0,70.0,01. JANEIRO
2022-01-08,Saturday,,False,29.8,16.3,22.83,95.0,45.0,66.0,6.6,3752.2,2271.1,11.3,3.42,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,1080.5,31.7794117647059,34.0,0.0,01. JANEIRO
2022-01-09,Sunday,,False,30.1,17.3,23.68,87.0,37.0,64.0,5.4,3844.6,2338.7,11.0,3.24,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,1904.5,33.4122807017544,57.0,55.5,01. JANEIRO
2022-01-10,Monday,,False,32.9,16.7,24.91,98.0,32.0,65.0,5.7,3896.6,2294.7,8.6,2.06,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,533.0,25.3809523809524,21.0,22.0,01. JANEIRO
